episode_id,blue_cube_count,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000189,3,0,True,0.4929477319444326,0.28109586671584685,0.026,11,0.51,-0.1451648446855659
episode_000189,3,1,True,0.3928138810378762,0.15636395037955023,0.026,4,0.51,-0.1451648446855659
episode_000189,3,2,True,0.5770023349115894,0.1388706829330404,0.026,16,0.51,-0.1451648446855659
episode_000190,2,0,False,0.49734045742048666,0.0005154765761817328,0.026,9,0.51,0.17050280804061263
episode_000190,2,1,False,0.6189237977765167,-0.21043945383035306,0.026,18,0.51,0.17050280804061263
episode_000191,2,0,True,0.4328529168240969,0.05618978907434062,0.026,3,0.51,0.2499630901133501
episode_000191,2,1,True,0.5535832360835654,-0.11675325748367116,0.026,13,0.51,0.2499630901133501
episode_000192,3,0,True,0.4887020237933599,-0.11800025245818811,0.026,7,0.51,0.22655931169248303
episode_000192,3,1,True,0.6141382249658914,-0.04775365453803229,0.026,20,0.51,0.22655931169248303
episode_000192,3,2,True,0.4548496777484298,0.04490053241952033,0.026,9,0.51,0.22655931169248303
episode_000193,3,0,True,0.470872623487696,0.1370565264366394,0.026,10,0.51,-0.1451648446855659
episode_000193,3,1,True,0.6334113861814206,0.15742668432697443,0.026,22,0.51,-0.1451648446855659
episode_000193,3,2,True,0.546409426461277,0.29168569929201904,0.026,17,0.51,-0.1451648446855659
episode_000194,2,0,True,0.6514879035056746,0.00011247969389607586,0.026,21,0.51,0.17050280804061263
episode_000194,2,1,True,0.5205017573103792,-0.06631876551830956,0.026,14,0.51,0.17050280804061263
episode_000195,3,0,True,0.45720083459080474,-0.046456163105409544,0.026,8,0.51,0.2499630901133501
episode_000195,3,1,True,0.4002343232752568,0.07153412133638472,0.026,3,0.51,0.2499630901133501
episode_000195,3,2,True,0.5352269402152331,-0.16267669766223486,0.026,13,0.51,0.2499630901133501
episode_000196,3,0,True,0.48272502661109185,0.029129165304712275,0.026,9,0.51,0.22655931169248303
episode_000196,3,1,True,0.4239526637075861,-0.17169015066715426,0.026,1,0.51,0.22655931169248303
episode_000196,3,2,True,0.5854999330084457,-0.2813769442391842,0.026,12,0.51,0.22655931169248303
episode_000197,1,0,True,0.4344310689653337,0.05413712250791192,0.026,3,0.51,-0.1451648446855659
episode_000198,2,0,True,0.42668233857017074,-0.19955957843228217,0.026,0,0.51,0.17050280804061263
episode_000198,2,1,True,0.551739888778271,-0.27844728017075165,0.026,12,0.51,0.17050280804061263
episode_000199,1,0,True,0.4400142766037789,-0.24399236219068338,0.026,0,0.51,0.2499630901133501
episode_000200,3,0,False,0.4582088066026916,0.05275197018025273,0.026,9,0.51,0.22655931169248303
episode_000200,3,1,False,0.43680439244380115,-0.15758752997556724,0.026,1,0.51,0.22655931169248303
episode_000200,3,2,False,0.5722270200109054,-0.08551179925940995,0.026,14,0.51,0.22655931169248303
episode_000201,2,0,True,0.39179999247907177,0.18373979617653746,0.026,4,0.51,-0.1451648446855659
episode_000201,2,1,True,0.5742665116958964,0.22030646109765722,0.026,17,0.51,-0.1451648446855659
episode_000202,2,0,True,0.4195123903086243,-0.06125221951155292,0.026,2,0.51,0.17050280804061263
episode_000202,2,1,True,0.560265515752312,-0.27746832039612906,0.026,12,0.51,0.17050280804061263
episode_000203,3,0,False,0.3874966595430834,-0.12055769410733436,0.026,1,0.51,0.2499630901133501
episode_000203,3,1,False,0.5452383072122062,-0.27058713084470576,0.026,12,0.51,0.2499630901133501
episode_000203,3,2,False,0.6219028227728002,0.07621837559383093,0.026,21,0.51,0.2499630901133501
episode_000204,2,0,False,0.42268624931478804,0.03511814604350868,0.026,3,0.51,0.22655931169248303
episode_000204,2,1,False,0.582226629711763,-0.300212990856467,0.026,12,0.51,0.22655931169248303
episode_000205,3,0,True,0.42346419904158816,0.14576629981121217,0.026,4,0.51,-0.1451648446855659
episode_000205,3,1,True,0.5531169512265599,0.16643980708597828,0.026,16,0.51,-0.1451648446855659
episode_000205,3,2,True,0.6457850199303393,0.0416797585505698,0.026,21,0.51,-0.1451648446855659
episode_000206,1,0,True,0.38896704855114766,-0.11637426030107531,0.026,1,0.51,0.17050280804061263
episode_000207,1,0,True,0.5173093930660961,-0.13276042395615745,0.026,13,0.51,0.2499630901133501
episode_000208,1,0,True,0.5476569289595055,-0.09585989338354385,0.026,14,0.51,0.22655931169248303
episode_000209,2,0,True,0.6141255445609135,0.20601822618644325,0.026,23,0.51,-0.1451648446855659
episode_000209,2,1,True,0.4574349134182902,0.10866758303379312,0.026,10,0.51,-0.1451648446855659
episode_000210,3,0,True,0.4254226311027515,-0.2387012479595349,0.026,0,0.51,0.17050280804061263
episode_000210,3,1,True,0.5452520157657749,-0.15735937026282185,0.026,13,0.51,0.17050280804061263
episode_000210,3,2,True,0.4156852003295252,-0.1020380968490549,0.026,1,0.51,0.17050280804061263
episode_000211,1,0,True,0.5203974577866451,0.0653787145535176,0.026,15,0.51,0.2499630901133501
episode_000212,3,0,True,0.4309305008001537,-0.09270837848787544,0.026,2,0.51,0.22655931169248303
episode_000212,3,1,True,0.5448997081081868,0.047879699832254825,0.026,15,0.51,0.22655931169248303
episode_000212,3,2,True,0.6166456279555725,-0.1301092382001018,0.026,19,0.51,0.22655931169248303
episode_000213,2,0,True,0.6571391681344863,0.03596042899408692,0.026,21,0.51,-0.1451648446855659
episode_000213,2,1,True,0.4913789478518098,0.16789861140790213,0.026,10,0.51,-0.1451648446855659
episode_000214,2,0,True,0.6413697895586431,-0.20830994160088284,0.026,18,0.51,0.17050280804061263
episode_000214,2,1,True,0.48288274005461596,-0.2275206320501772,0.026,6,0.51,0.17050280804061263
episode_000215,3,0,True,0.40883559824157756,0.044930244649048,0.026,3,0.51,0.2499630901133501
episode_000215,3,1,True,0.5638717042935543,-0.1847019994470521,0.026,13,0.51,0.2499630901133501
episode_000215,3,2,True,0.38554080061243134,-0.2666432306761797,0.026,0,0.51,0.2499630901133501
episode_000216,2,0,True,0.6088737937872132,-0.18014917566209432,0.026,19,0.51,0.22655931169248303
episode_000216,2,1,True,0.5136566035232858,0.0016114108520065384,0.026,9,0.51,0.22655931169248303
episode_000217,2,0,True,0.6201847629602947,0.12492771027169605,0.026,22,0.51,-0.1451648446855659
episode_000217,2,1,True,0.4700246150688771,0.053811501412669736,0.026,9,0.51,-0.1451648446855659
episode_000218,1,0,True,0.5506963760539785,0.0008619573583956366,0.026,15,0.51,0.17050280804061263
episode_000219,2,0,False,0.6409502268731437,0.023497025957067215,0.026,21,0.51,0.2499630901133501
episode_000219,2,1,False,0.4837935312726319,-0.24407497104836462,0.026,6,0.51,0.2499630901133501
episode_000220,1,0,True,0.5784715443323017,-0.28755554843072517,0.026,12,0.51,0.22655931169248303
episode_000221,3,0,True,0.42083662936327343,0.06887487012256122,0.026,3,0.51,-0.1451648446855659
episode_000221,3,1,True,0.5615692470905108,0.1707190240783072,0.026,16,0.51,-0.1451648446855659
episode_000221,3,2,True,0.43607831529041086,0.1949730021002734,0.026,4,0.51,-0.1451648446855659
episode_000222,3,0,False,0.5409968616877782,-0.17444969284653863,0.026,13,0.51,0.17050280804061263
episode_000222,3,1,False,0.5921016554357523,-0.2987195441702837,0.026,18,0.51,0.17050280804061263
episode_000222,3,2,False,0.394304314886197,-0.10016451728647124,0.026,1,0.51,0.17050280804061263
episode_000223,2,0,False,0.5292508358690928,0.04569270057700651,0.026,15,0.51,0.2499630901133501
episode_000223,2,1,False,0.38695614484914886,-0.195641480791373,0.026,1,0.51,0.2499630901133501
episode_000224,2,0,True,0.5575796628254002,0.038162597890850775,0.026,15,0.51,0.22655931169248303
episode_000224,2,1,True,0.3944829473029633,-0.05278787108262839,0.026,2,0.51,0.22655931169248303
episode_000225,3,0,True,0.5190837820907134,0.11292859755117599,0.026,16,0.51,-0.1451648446855659
episode_000225,3,1,True,0.6431251003560795,0.1969763070818133,0.026,22,0.51,-0.1451648446855659
episode_000225,3,2,True,0.382418868990494,0.059349635395851585,0.026,3,0.51,-0.1451648446855659
episode_000226,2,0,True,0.5242866969752457,-0.23517139745428614,0.026,12,0.51,0.22068437046266912
episode_000226,2,1,True,0.3998634592502686,0.005685566128515766,0.026,3,0.51,0.22068437046266912
episode_000227,2,0,True,0.5417689759143811,-0.1328641520672637,0.026,13,0.51,0.2130091388423873
episode_000227,2,1,True,0.3801817749810511,0.04276036623317287,0.026,3,0.51,0.2130091388423873
episode_000228,1,0,True,0.5624799752994334,0.23263796254150287,0.026,17,0.51,-0.20846279558618538
episode_000229,3,0,True,0.5157650475969513,-0.25957386608012134,0.026,12,0.51,0.19379382713580406
episode_000229,3,1,True,0.5935276346708928,0.00040330299699145936,0.026,21,0.51,0.19379382713580406
episode_000229,3,2,True,0.5084294905161546,-0.1406784358293556,0.026,7,0.51,0.19379382713580406
episode_000230,2,0,False,0.586382383281863,-0.013942246115310891,0.026,14,0.51,0.22068437046266912
episode_000230,2,1,False,0.4150040408947042,0.005720736459831159,0.026,3,0.51,0.22068437046266912
episode_000231,3,0,True,0.5854626435048476,-0.02972943380755297,0.026,14,0.51,0.2130091388423873
episode_000231,3,1,True,0.4492775863558484,0.04100670315918622,0.026,9,0.51,0.2130091388423873
episode_000231,3,2,True,0.44816073699202175,-0.10179735896902029,0.026,7,0.51,0.2130091388423873
episode_000232,1,0,True,0.6520599104417841,-0.02385550915755623,0.026,20,0.51,-0.20846279558618538
episode_000233,1,0,True,0.6269235219310542,-0.09658522201686787,0.026,20,0.51,0.19379382713580406
episode_000234,1,0,True,0.657781525875771,0.007026183046469535,0.026,21,0.51,0.22068437046266912
episode_000235,1,0,True,0.6542880325636539,0.019871850134817497,0.026,21,0.51,0.2130091388423873
episode_000236,3,0,True,0.5384454508184701,0.143729161154389,0.026,16,0.51,-0.20846279558618538
episode_000236,3,1,True,0.5880550644188111,0.26942036578390605,0.026,23,0.51,-0.20846279558618538
