episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000222,2,0,2,0,True,0.4127768509337332,0.027980707617809592,0.026,3,0.51,0.2456055205640743
episode_000222,2,0,2,1,True,0.6023859275405803,-0.15867097339240133,0.026,19,0.51,0.2456055205640743
episode_000223,1,0,1,0,True,0.49502768383423873,-0.028587648834769303,0.026,8,0.51,0.23208123069127348
episode_000224,1,0,1,0,True,0.46056317273990044,-0.25239674482534347,0.026,6,0.51,0.21314741073137272
episode_000225,1,0,1,0,True,0.49705242326145577,0.016450992641737862,0.026,9,0.51,-0.23771861983736764
episode_000226,2,0,2,0,False,0.3815951347261762,-0.2899869014941242,0.026,0,0.51,0.2456055205640743
episode_000226,2,0,2,1,False,0.6310466289095449,-0.15841821274871604,0.026,19,0.51,0.2456055205640743
episode_000227,1,0,1,0,True,0.45165425550014326,0.03996139457079617,0.026,9,0.51,0.23208123069127348
episode_000229,1,0,1,0,True,0.6511293700129206,0.1740167018818644,0.026,22,0.51,-0.23771861983736764
episode_000230,1,0,1,0,True,0.6484742224120906,-0.019880647479941033,0.026,20,0.51,0.2456055205640743
episode_000233,1,0,1,0,True,0.5914762986636173,-0.0530505510144954,0.026,20,0.51,-0.23771861983736764
episode_000234,2,0,2,0,False,0.5505960993661249,-0.24075332763151852,0.026,12,0.51,0.2456055205640743
episode_000234,2,0,2,1,False,0.4651184834221203,-0.024384637614968882,0.026,8,0.51,0.2456055205640743
episode_000236,2,0,2,0,True,0.5584733559538686,-0.15138595443802882,0.026,13,0.51,0.21314741073137272
episode_000236,2,0,2,1,True,0.48966723254266964,0.03821064441132167,0.026,9,0.51,0.21314741073137272
episode_000237,1,0,1,0,False,0.6328553668919086,0.20849203979421488,0.026,23,0.51,-0.23771861983736764
episode_000238,1,0,1,0,True,0.6311691830552735,-0.2134195373085152,0.026,18,0.51,0.2456055205640743
episode_000239,2,0,2,0,True,0.5574701720172734,-0.10261205865423453,0.026,13,0.51,0.23208123069127348
episode_000239,2,0,2,1,True,0.46643611698952836,-0.2608273974778437,0.026,6,0.51,0.23208123069127348
episode_000240,2,0,2,0,True,0.5365992152382743,-0.006305853015601159,0.026,14,0.51,0.21314741073137272
episode_000240,2,0,2,1,True,0.4722072186756047,-0.24697046650615312,0.026,6,0.51,0.21314741073137272
episode_000242,2,0,2,0,True,0.5756459962505475,0.030659110403997027,0.026,15,0.51,0.2456055205640743
episode_000242,2,0,2,1,True,0.4752028691057074,-0.15194278087804616,0.026,7,0.51,0.2456055205640743
episode_000243,2,0,2,0,True,0.5788861931166531,-0.30049665302325185,0.026,12,0.51,0.23208123069127348
episode_000243,2,0,2,1,True,0.4669036581119445,-0.17402564502523027,0.026,7,0.51,0.23208123069127348
episode_000244,1,0,1,0,True,0.6286526719022067,0.0436764099446636,0.026,21,0.51,0.21314741073137272
episode_000246,2,0,2,0,True,0.5934183317761226,-0.25515663034174657,0.026,18,0.51,0.2456055205640743
episode_000246,2,0,2,1,True,0.4005192274912696,-0.029437943198529395,0.026,2,0.51,0.2456055205640743
episode_000252,2,1,1,0,True,0.6350062408350559,-0.12510109415537204,0.026,19,0.51,0.21314741073137272
episode_000253,1,0,1,0,True,0.38410571700158774,0.12695051833279505,0.026,4,0.51,-0.23771861983736764
episode_000254,1,0,1,0,True,0.42682942633002885,-0.08961906331987386,0.026,2,0.51,0.2456055205640743
episode_000255,1,0,1,0,True,0.4226869805562067,-0.01446092871251689,0.026,2,0.51,0.23208123069127348
episode_000256,1,0,1,0,True,0.39635076149855325,-0.24501320179773806,0.026,0,0.51,0.21314741073137272
episode_000257,1,0,1,0,True,0.4148325898862278,0.010898378443116748,0.026,3,0.51,-0.23771861983736764
episode_000258,2,0,2,0,True,0.6504742527129279,-0.16748522621487386,0.026,19,0.51,0.2456055205640743
episode_000258,2,0,2,1,True,0.38808221382841035,-0.2949448712773037,0.026,0,0.51,0.2456055205640743
episode_000261,2,0,2,0,False,0.6462560216654444,-0.05585929445521491,0.026,20,0.51,-0.23771861983736764
episode_000261,2,0,2,1,False,0.3718264225152693,0.15872087851898445,0.026,4,0.51,-0.23771861983736764
episode_000262,1,0,1,0,True,0.43594589103821985,0.05320690438526825,0.026,3,0.51,0.2456055205640743
episode_000264,1,0,1,0,True,0.5834960667163323,-0.1806731257521858,0.026,13,0.51,0.21314741073137272
episode_000265,1,0,1,0,True,0.539910803788223,0.18467581126966293,0.026,16,0.51,-0.23771861983736764
episode_000266,2,0,2,0,True,0.5999475175901218,0.04914329864386483,0.026,21,0.51,0.2456055205640743
episode_000266,2,0,2,1,True,0.3842199619974253,-0.19386663991656558,0.026,1,0.51,0.2456055205640743
episode_000267,1,0,1,0,True,0.5567715631989254,-0.02080491247563364,0.026,14,0.51,0.23208123069127348
episode_000268,1,0,1,0,True,0.5593361723537025,-0.20540195017831275,0.026,12,0.51,0.21314741073137272
episode_000270,1,0,1,0,True,0.527267297929549,-0.22006539171938444,0.026,12,0.51,0.2456055205640743
episode_000275,1,0,1,0,True,0.5637987394138059,0.02145439516226411,0.026,15,0.51,0.23208123069127348
episode_000276,1,0,1,0,True,0.513145036288435,-0.1832342693817849,0.026,7,0.51,0.21314741073137272
episode_000277,2,1,1,0,True,0.6187417474385031,0.21926782901583913,0.026,23,0.51,-0.23771861983736764
episode_000278,2,0,2,0,True,0.48120746192911856,-0.20456790547150244,0.026,6,0.51,0.2456055205640743
episode_000278,2,0,2,1,True,0.55035781069891,-0.01984571540829154,0.026,14,0.51,0.2456055205640743
episode_000279,1,0,1,0,True,0.49512139801914634,-0.06468988387110003,0.026,8,0.51,0.23208123069127348
episode_000280,1,0,1,0,True,0.46333349762516896,-0.03668915869377089,0.026,8,0.51,0.21314741073137272
